01-Jan-18,Monday,
Hours,Price [EUR/MWh],Volume [MWh]
0.5,-5.27,"34,176.60"
1.5,-29.99,"34,682.80"
2.5,-56.65,"34,500.10"
3.5,-63.14,"34,721.60"
4.5,-64.62,"34,857.10"
5.5,-67,"34,287.10"
6.5,-72.54,"34,750.40"
7.5,-76.01,"33,675.10"
8.5,-71.45,"37,937.80"
9.5,-66.88,"39,156.90"
10.5,-62,"40,170.10"
11.5,-56.08,"41,861.20"
12.5,-49.96,"40,907.40"
13.5,-24.29,"40,203.30"
14.5,-5.59,"36,589.50"
15.5,0.23,"33,539.50"
16.5,11.02,"31,304.70"
17.5,23.5,"30,834.80"
18.5,22.91,"31,018.80"
19.5,21.02,"30,535.60"
20.5,21.05,"29,693.80"
21.5,21.95,"30,051.80"
22.5,23.52,"28,645.10"
23.5,18.96,"27,839.80"
