Index;Time of day (hr);Summer Weekday Price (EUR/MWh);Summer Weekend Price (EUR/MWh);Winter Weekday Price (EUR/MWh);Winter Weekend Price (EUR/MWh)
0;0;28.77102941;29.13230769;23.846875;26.63076923
1;1;26.93941176;26.50230769;21.5825;23.365
2;2;25.78161765;24.59653846;20.0159375;22.18346154
3;3;24.825;23.26961538;19.3309375;21.56538462
4;4;25.07397059;22.19269231;20.18140625;21.27269231
5;5;27.68073529;22.15192308;24.17671875;21.42538462
6;6;34.73867647;22.81538462;31.2640625;22.16461538
7;7;40.12176471;24.29884615;42.10609375;24.21576923
8;8;41.87647059;26.53192308;44.44921875;28.48038462
9;9;40.54647059;27.13923077;42.364375;29.96615385
10;10;39.07147059;25.23038462;39.68015625;29.59769231
11;11;38.05367647;25.09;38.03390625;30.45076923
12;12;35.25882353;21.73769231;35.99375;29.63269231
13;13;33.4325;18.01384615;35.621875;26.34230769
14;14;32.06176471;15.98461538;36.6121875;25.11807692
15;15;32.41058824;18.82423077;38.18796875;25.56153846
16;16;33.58058824;21.26807692;40.2421875;29.44615385
17;17;37.04852941;25.405;45.41375;35.01730769
18;18;40.04102941;31.24230769;49.16375;38.07692308
19;19;42.23838235;35.43038462;46.11734375;35.76423077
20;20;40.91985294;36.42846154;39.57984375;31.25076923
21;21;38.49794118;35.92269231;34.7640625;27.62923077
22;22;36.36323529;35.69115385;33.1990625;28.05153846
23;23;31.68205882;32.20269231;28.58265625;23.47115385
