,Time of day (hr),Summer Weekday Price (EUR/MWh),Summer Weekend Price (EUR/MWh),Winter Weekday Price (EUR/MWh),Winter Weekend Price (EUR/MWh)
0,0,28.771029411764705,29.1323076923077,23.846874999999994,26.630769230769236
1,1,26.939411764705884,26.502307692307696,21.582500000000003,23.364999999999995
2,2,25.78161764705883,24.596538461538465,20.015937500000003,22.183461538461543
3,3,24.825,23.26961538461538,19.330937499999997,21.565384615384612
4,4,25.073970588235298,22.19269230769231,20.181406250000002,21.272692307692303
5,5,27.680735294117646,22.15192307692308,24.176718750000006,21.42538461538462
6,6,34.73867647058824,22.815384615384616,31.264062500000005,22.16461538461538
7,7,40.121764705882335,24.298846153846164,42.106093749999985,24.215769230769233
8,8,41.87647058823531,26.53192307692308,44.44921875,28.48038461538461
9,9,40.5464705882353,27.13923076923077,42.36437499999998,29.96615384615384
10,10,39.07147058823529,25.23038461538461,39.68015625000001,29.597692307692306
11,11,38.05367647058824,25.089999999999996,38.033906249999994,30.450769230769232
12,12,35.258823529411785,21.737692307692306,35.99374999999999,29.632692307692313
13,13,33.4325,18.013846153846156,35.62187499999999,26.34230769230768
14,14,32.061764705882354,15.984615384615381,36.61218749999999,25.118076923076924
15,15,32.41058823529413,18.824230769230773,38.18796875,25.561538461538458
16,16,33.580588235294115,21.268076923076926,40.24218749999999,29.44615384615385
17,17,37.04852941176471,25.40499999999999,45.413749999999986,35.01730769230769
18,18,40.041029411764704,31.24230769230769,49.16374999999998,38.07692307692309
19,19,42.23838235294119,35.43038461538462,46.11734375000002,35.764230769230764
20,20,40.919852941176465,36.42846153846154,39.57984375000001,31.25076923076923
21,21,38.49794117647059,35.9226923076923,34.76406250000001,27.62923076923078
22,22,36.363235294117665,35.691153846153846,33.1990625,28.051538461538467
23,23,31.682058823529406,32.20269230769231,28.582656249999996,23.471153846153847
