ticker;value
0;0.036
1;0.036
2;0.024
3;0.024
4;0.036
5;0.044
6;0.012
7;0.036
8;0.024
9;0.036
10;0.024
11;0.036
12;0.032
13;0.024
14;0.032
15;0.028
16;0.024
17;0.036
18;0.024
19;0.036
20;0.024
21;0.044
22;0.024
23;0.036
24;0.024
25;0.036
26;0.024
27;0.036
28;0.024
29;0.024
30;0.032
31;0.036
32;0.024
33;0.028
34;0.024
35;0.04
36;22.823
37;25.732
38;24.961
39;32.054
40;35.776
41;50.562
42;66.104
43;85.865
44;106.209
45;115.806
46;99.423
47;121.577
48;141.179
49;164.786
50;180.691
51;165.357
52;168.437
53;172.995
54;190.696
55;234.629
56;161.825
57;115.161
58;102.523
59;60.123
60;58.492
61;35.596
62;32.141
63;17.866
64;14.367
65;2.373
66;0.056
67;0.024
68;0.024
69;0.028
70;0.032
71;0.024
72;0.032
73;0.028
74;0.024
75;0.036
76;0.024
77;0.036
78;0.024
79;0.036
80;0.024
81;0.044
82;0.016
83;0.036
84;0.024
85;0.036
86;0.024
87;0.036
88;0.024
89;0.028
90;0.024
91;0.036
92;0.032
93;0.036
94;0.036
95;0.024
